sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3803;SDS011;1917;50.837;4.331;2017-09-11T11:17:45;9.73;;;2.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:20:13;11.30;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:22:41;5.80;;;2.10;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:25:09;10.33;;;2.60;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:27:37;10.37;;;2.63;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:30:05;10.17;;;2.93;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:32:33;10.20;;;2.83;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:35:01;7.33;;;2.30;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:37:29;7.90;;;2.40;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:39:57;9.73;;;2.50;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:42:25;7.57;;;2.43;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:44:53;11.33;;;2.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:47:21;10.60;;;2.63;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:49:49;7.63;;;2.87;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:52:17;7.80;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:54:45;9.37;;;2.60;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:57:13;10.10;;;3.10;;
3803;SDS011;1917;50.837;4.331;2017-09-11T11:59:41;5.23;;;2.30;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:02:09;6.87;;;1.83;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:04:37;9.47;;;2.27;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:07:05;6.43;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:09:33;9.00;;;1.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:12:01;6.33;;;2.40;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:14:29;4.80;;;2.23;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:16:58;9.70;;;3.40;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:19:26;16.03;;;3.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:21:54;7.70;;;2.37;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:24:22;6.37;;;1.80;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:26:50;6.33;;;2.43;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:29:18;5.83;;;1.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:31:46;7.30;;;2.43;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:34:14;3.70;;;1.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:36:43;11.07;;;2.00;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:39:11;10.37;;;2.63;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:41:39;10.03;;;2.53;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:44:07;5.77;;;2.10;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:46:35;6.80;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:49:03;11.23;;;2.83;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:51:31;9.40;;;2.70;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:53:59;9.73;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:56:27;5.97;;;2.00;;
3803;SDS011;1917;50.837;4.331;2017-09-11T12:58:55;4.20;;;2.00;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:01:23;7.77;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:03:51;4.50;;;1.73;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:06:19;5.47;;;2.07;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:08:47;4.73;;;2.13;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:11:16;6.63;;;2.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:13:44;12.07;;;2.47;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:16:12;7.13;;;2.43;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:18:40;9.70;;;2.40;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:21:08;5.73;;;2.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:23:36;8.80;;;2.40;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:26:04;3.73;;;2.13;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:28:32;9.40;;;3.00;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:31:00;12.97;;;4.60;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:33:28;16.20;;;3.13;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:35:56;10.30;;;2.70;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:38:24;9.80;;;3.60;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:40:52;9.53;;;3.33;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:43:20;13.23;;;2.47;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:45:48;8.50;;;2.47;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:48:16;7.20;;;2.67;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:50:44;8.80;;;3.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:53:12;13.73;;;2.87;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:55:40;15.00;;;2.80;;
3803;SDS011;1917;50.837;4.331;2017-09-11T13:58:08;5.20;;;2.83;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:00:37;10.50;;;2.77;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:03:05;12.80;;;3.13;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:05:33;14.83;;;3.50;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:08:01;13.10;;;2.97;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:10:29;9.07;;;3.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:12:57;20.43;;;3.17;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:15:25;10.00;;;2.70;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:17:53;9.70;;;3.33;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:20:21;5.57;;;2.37;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:22:49;16.40;;;3.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:25:17;11.30;;;3.60;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:27:45;10.60;;;3.10;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:30:13;13.30;;;3.80;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:32:41;10.23;;;2.93;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:35:09;12.47;;;3.60;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:37:37;13.37;;;3.53;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:40:06;10.30;;;3.80;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:42:34;13.20;;;3.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:45:02;20.30;;;5.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:47:30;15.00;;;3.90;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:49:58;18.47;;;3.67;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:52:26;13.60;;;5.40;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:54:54;10.67;;;4.13;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:57:22;17.87;;;3.70;;
3803;SDS011;1917;50.837;4.331;2017-09-11T14:59:50;10.80;;;3.13;;
3803;SDS011;1917;50.837;4.331;2017-09-11T15:02:18;12.87;;;4.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T15:04:46;9.10;;;3.20;;
3803;SDS011;1917;50.837;4.331;2017-09-11T15:07:14;11.80;;;4.00;;
