sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
5561;SDS011;2804;50.846;4.357;2018-02-03T00:01:03;14.80;;;7.32;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:03:29;12.00;;;7.60;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:05:57;17.37;;;9.07;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:08:25;24.30;;;8.32;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:10:52;13.52;;;8.10;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:13:20;10.60;;;7.72;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:15:49;15.93;;;8.65;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:18:17;19.25;;;9.45;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:20:44;22.80;;;9.43;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:23:11;20.15;;;8.75;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:25:38;14.18;;;8.30;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:28:08;22.00;;;7.75;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:30:35;29.55;;;9.13;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:33:01;22.70;;;8.20;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:35:32;10.07;;;8.00;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:37:59;13.70;;;7.70;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:40:27;10.02;;;7.35;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:42:56;18.45;;;7.35;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:45:23;21.65;;;7.18;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:47:51;18.30;;;7.95;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:50:23;17.85;;;7.60;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:52:52;10.07;;;6.80;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:55:28;17.12;;;8.63;;
5561;SDS011;2804;50.846;4.357;2018-02-03T00:57:58;26.75;;;9.25;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:00:33;11.07;;;6.55;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:03:01;29.87;;;8.30;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:05:28;17.83;;;9.00;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:07:55;14.95;;;8.40;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:10:24;21.70;;;7.43;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:12:51;25.12;;;8.20;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:15:17;16.00;;;8.50;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:17:48;19.60;;;8.20;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:20:15;16.08;;;8.27;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:22:42;24.35;;;8.88;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:25:09;21.20;;;9.18;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:27:37;20.90;;;9.20;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:30:04;10.82;;;7.45;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:32:31;26.85;;;8.80;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:35:00;27.13;;;10.75;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:37:28;23.48;;;8.82;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:39:55;21.35;;;9.45;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:42:23;16.08;;;9.13;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:44:58;30.15;;;11.23;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:50:03;22.45;;;9.88;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:52:32;19.85;;;9.70;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:54:59;18.83;;;8.65;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:57:27;18.85;;;10.02;;
5561;SDS011;2804;50.846;4.357;2018-02-03T01:59:55;16.58;;;8.43;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:02:23;15.70;;;8.65;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:04:53;23.35;;;11.07;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:07:27;22.62;;;11.65;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:09:54;16.73;;;9.10;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:12:21;14.90;;;8.13;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:14:48;17.42;;;9.52;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:17:15;18.27;;;8.70;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:19:43;28.02;;;11.63;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:22:10;23.42;;;9.65;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:24:37;26.87;;;10.35;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:27:04;19.05;;;10.25;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:29:32;18.30;;;9.88;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:31:59;18.05;;;10.27;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:34:26;15.57;;;9.70;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:36:54;28.85;;;10.55;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:39:21;18.67;;;11.48;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:41:49;25.30;;;10.38;;
5561;SDS011;2804;50.846;4.357;2018-02-03T02:44:17;15.63;;;10.70;;
