sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
5562;DHT22;2804;50.846;4.357;2018-02-06T00:01:35;5.00;49.80
5562;DHT22;2804;50.846;4.357;2018-02-06T00:04:02;5.20;49.10
5562;DHT22;2804;50.846;4.357;2018-02-06T00:06:29;5.10;49.30
5562;DHT22;2804;50.846;4.357;2018-02-06T00:08:56;5.40;48.60
5562;DHT22;2804;50.846;4.357;2018-02-06T00:11:24;4.50;48.80
5562;DHT22;2804;50.846;4.357;2018-02-06T00:13:51;4.10;50.40
5562;DHT22;2804;50.846;4.357;2018-02-06T00:16:17;3.50;51.70
5562;DHT22;2804;50.846;4.357;2018-02-06T00:18:45;2.80;53.40
5562;DHT22;2804;50.846;4.357;2018-02-06T00:21:12;2.70;54.30
5562;DHT22;2804;50.846;4.357;2018-02-06T00:23:39;2.80;54.80
5562;DHT22;2804;50.846;4.357;2018-02-06T00:26:06;2.50;54.60
5562;DHT22;2804;50.846;4.357;2018-02-06T00:28:34;3.00;54.50
5562;DHT22;2804;50.846;4.357;2018-02-06T00:31:02;2.70;53.80
5562;DHT22;2804;50.846;4.357;2018-02-06T00:33:32;2.30;54.70
5562;DHT22;2804;50.846;4.357;2018-02-06T00:36:00;2.60;54.50
5562;DHT22;2804;50.846;4.357;2018-02-06T00:38:27;2.60;54.50
5562;DHT22;2804;50.846;4.357;2018-02-06T00:40:54;2.50;54.20
5562;DHT22;2804;50.846;4.357;2018-02-06T00:43:21;2.60;54.10
5562;DHT22;2804;50.846;4.357;2018-02-06T00:45:55;3.10;53.30
5562;DHT22;2804;50.846;4.357;2018-02-06T00:48:21;2.50;53.70
5562;DHT22;2804;50.846;4.357;2018-02-06T00:50:50;2.50;54.40
5562;DHT22;2804;50.846;4.357;2018-02-06T00:53:16;2.70;54.30
5562;DHT22;2804;50.846;4.357;2018-02-06T00:55:52;3.00;53.50
5562;DHT22;2804;50.846;4.357;2018-02-06T00:58:35;3.20;52.40
5562;DHT22;2804;50.846;4.357;2018-02-06T01:01:24;3.30;51.60
5562;DHT22;2804;50.846;4.357;2018-02-06T01:03:51;3.00;51.90
5562;DHT22;2804;50.846;4.357;2018-02-06T01:06:21;2.70;53.60
5562;DHT22;2804;50.846;4.357;2018-02-06T01:08:48;2.70;53.60
5562;DHT22;2804;50.846;4.357;2018-02-06T01:11:18;2.90;53.10
5562;DHT22;2804;50.846;4.357;2018-02-06T01:13:46;3.10;52.40
5562;DHT22;2804;50.846;4.357;2018-02-06T01:16:13;3.00;52.00
5562;DHT22;2804;50.846;4.357;2018-02-06T01:18:41;2.90;52.70
5562;DHT22;2804;50.846;4.357;2018-02-06T01:21:08;3.10;52.40
5562;DHT22;2804;50.846;4.357;2018-02-06T01:23:43;3.50;51.70
5562;DHT22;2804;50.846;4.357;2018-02-06T01:26:28;3.10;51.70
5562;DHT22;2804;50.846;4.357;2018-02-06T01:31:36;3.50;50.70
5562;DHT22;2804;50.846;4.357;2018-02-06T01:34:04;3.70;51.00
5562;DHT22;2804;50.846;4.357;2018-02-06T01:36:39;3.40;50.30
5562;DHT22;2804;50.846;4.357;2018-02-06T01:39:08;3.00;52.40
5562;DHT22;2804;50.846;4.357;2018-02-06T01:41:36;3.00;52.60
