sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3445;SDS011;1737;50.872;4.377;2017-09-10T00:00:28;14.60;;;4.87;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:02:57;12.33;;;5.00;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:05:24;14.00;;;5.70;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:07:51;43.67;;;23.47;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:10:17;14.70;;;5.13;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:12:44;17.03;;;4.70;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:15:17;9.40;;;4.50;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:17:43;8.87;;;4.53;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:20:11;20.83;;;6.03;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:22:38;15.77;;;5.30;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:25:04;16.10;;;4.97;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:27:34;15.60;;;5.57;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:30:03;14.97;;;5.70;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:32:32;14.33;;;5.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:35:06;18.10;;;5.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:37:34;11.53;;;5.30;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:40:03;11.83;;;5.07;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:42:31;25.73;;;6.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:45:03;15.30;;;5.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:47:32;11.63;;;5.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:52:53;14.30;;;6.33;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:55:23;14.30;;;7.00;;
3445;SDS011;1737;50.872;4.377;2017-09-10T00:57:52;21.83;;;6.47;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:00:25;13.70;;;6.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:03:09;15.53;;;6.00;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:05:38;14.80;;;7.30;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:10:40;23.80;;;6.00;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:13:08;8.97;;;4.97;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:15:34;13.57;;;5.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:20:35;9.60;;;4.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:23:03;7.33;;;5.00;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:25:29;8.77;;;5.40;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:27:56;21.30;;;6.17;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:30:29;12.10;;;5.57;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:33:04;15.67;;;6.40;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:35:31;16.80;;;6.23;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:37:58;18.50;;;6.90;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:40:25;14.93;;;5.83;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:42:51;15.30;;;5.90;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:45:22;12.27;;;5.50;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:47:51;10.97;;;5.57;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:50:18;16.87;;;7.07;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:52:45;15.20;;;5.10;;
3445;SDS011;1737;50.872;4.377;2017-09-10T01:55:16;18.60;;;6.73;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:00:19;25.00;;;4.83;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:02:46;21.57;;;5.83;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:05:13;10.70;;;5.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:07:40;6.50;;;4.47;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:10:08;12.93;;;4.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:12:35;11.07;;;4.70;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:15:03;11.73;;;4.63;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:17:30;10.90;;;4.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:19:57;8.87;;;4.40;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:22:24;9.73;;;4.37;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:24:50;7.63;;;4.17;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:29:51;9.23;;;3.93;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:32:20;13.83;;;4.23;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:34:49;14.83;;;3.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:37:16;9.70;;;4.43;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:39:47;9.60;;;4.63;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:42:19;14.53;;;5.20;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:44:46;13.20;;;4.70;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:47:13;7.00;;;4.10;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:49:39;7.83;;;4.30;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:52:06;15.80;;;4.40;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:54:35;8.17;;;3.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:57:02;16.40;;;4.37;;
3445;SDS011;1737;50.872;4.377;2017-09-10T02:59:29;11.90;;;4.27;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:01:57;9.30;;;3.83;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:04:25;10.93;;;4.70;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:06:52;8.00;;;4.10;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:09:21;10.23;;;4.00;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:11:48;7.00;;;4.13;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:14:20;13.47;;;4.33;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:16:48;12.33;;;3.90;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:19:19;9.70;;;3.47;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:21:58;20.97;;;4.80;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:24:31;14.13;;;4.60;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:27:02;10.40;;;4.23;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:29:30;13.67;;;4.13;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:31:58;11.57;;;4.83;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:34:25;10.07;;;4.43;;
3445;SDS011;1737;50.872;4.377;2017-09-10T03:36:53;7.00;;;4.03;;
