sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
5561;SDS011;2804;50.846;4.357;2018-02-06T00:01:35;23.25;;;15.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:04:01;22.40;;;15.02;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:06:28;28.85;;;15.18;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:08:56;20.23;;;13.52;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:11:23;24.83;;;14.18;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:13:50;22.80;;;14.13;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:16:17;21.15;;;14.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:18:45;21.55;;;14.43;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:21:12;20.95;;;14.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:23:39;24.98;;;15.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:26:06;26.67;;;15.75;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:28:33;22.37;;;14.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:31:01;26.98;;;15.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:33:30;21.37;;;14.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:36:00;20.08;;;13.02;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:38:27;19.27;;;13.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:40:53;18.58;;;13.75;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:43:20;21.95;;;14.07;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:45:53;22.10;;;12.63;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:48:21;25.45;;;14.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:50:49;21.83;;;14.82;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:53:16;22.27;;;14.30;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:55:52;25.90;;;15.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T00:58:27;24.12;;;14.38;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:03:50;28.10;;;15.07;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:06:20;30.30;;;14.57;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:08:47;26.60;;;15.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:11:18;21.92;;;14.45;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:13:46;21.75;;;14.00;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:16:13;21.00;;;14.05;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:18:41;24.60;;;14.13;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:21:07;25.45;;;15.15;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:23:42;23.77;;;14.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:26:19;34.28;;;14.70;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:28:54;20.55;;;13.68;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:31:36;30.20;;;16.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:34:03;22.15;;;14.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:36:38;27.48;;;15.43;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:39:07;23.65;;;15.00;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:41:35;27.90;;;15.30;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:44:03;28.98;;;15.18;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:46:29;19.90;;;13.43;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:49:04;29.70;;;14.73;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:51:41;21.98;;;14.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:54:17;25.58;;;14.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:56:52;28.98;;;13.93;;
5561;SDS011;2804;50.846;4.357;2018-02-06T01:59:20;26.92;;;15.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:01:47;28.15;;;14.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:04:14;23.02;;;14.43;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:06:42;25.12;;;14.52;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:09:10;24.73;;;14.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:11:37;25.02;;;15.20;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:14:05;30.05;;;14.60;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:16:32;29.77;;;14.70;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:18:59;27.05;;;15.82;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:21:28;26.42;;;15.02;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:23:55;29.35;;;16.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:26:21;25.73;;;14.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:28:48;30.35;;;16.00;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:31:15;31.85;;;15.68;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:33:42;27.10;;;15.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:36:09;28.52;;;14.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:38:35;29.95;;;16.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:41:03;34.15;;;17.27;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:43:30;29.95;;;14.82;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:45:58;30.25;;;14.05;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:48:26;29.63;;;15.65;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:50:54;28.50;;;16.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:53:20;30.48;;;15.23;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:55:48;27.40;;;14.98;;
5561;SDS011;2804;50.846;4.357;2018-02-06T02:58:17;31.37;;;15.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:00:45;29.10;;;15.75;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:03:12;28.58;;;14.98;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:05:39;31.83;;;15.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:08:07;33.33;;;15.38;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:10:34;25.12;;;13.88;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:13:01;34.75;;;15.60;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:15:31;32.08;;;17.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:18:00;33.20;;;17.00;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:20:28;28.48;;;16.33;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:22:55;25.48;;;15.98;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:25:23;33.65;;;15.57;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:27:54;27.15;;;15.93;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:30:22;32.45;;;16.77;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:32:49;31.60;;;17.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:35:16;34.33;;;16.50;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:37:42;28.62;;;15.55;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:40:10;30.30;;;16.77;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:42:37;32.70;;;17.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:45:04;26.98;;;16.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:47:30;32.50;;;17.12;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:49:57;36.03;;;16.17;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:52:24;36.05;;;18.42;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:54:51;41.78;;;17.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:57:19;36.28;;;16.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T03:59:46;36.22;;;18.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:02:13;34.65;;;17.08;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:04:40;34.20;;;18.55;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:07:07;32.47;;;17.02;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:09:34;31.80;;;17.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:12:02;34.70;;;17.37;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:14:30;34.85;;;17.50;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:16:56;30.48;;;17.52;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:19:24;32.55;;;16.58;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:21:51;28.25;;;16.12;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:24:18;34.90;;;17.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:26:48;32.33;;;16.55;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:29:18;27.25;;;15.75;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:31:52;33.95;;;17.30;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:34:19;27.52;;;16.17;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:36:46;32.70;;;15.73;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:39:13;31.73;;;16.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:41:44;30.23;;;16.52;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:44:10;30.42;;;17.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:46:42;35.40;;;18.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:49:09;31.52;;;16.62;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:51:40;38.50;;;17.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:54:11;22.98;;;13.82;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:56:39;32.13;;;17.90;;
5561;SDS011;2804;50.846;4.357;2018-02-06T04:59:08;29.63;;;17.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:01:37;36.00;;;16.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:04:05;29.02;;;16.73;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:06:33;32.75;;;16.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:09:02;39.13;;;18.33;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:11:29;32.97;;;16.70;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:13:56;38.33;;;19.05;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:16:30;35.92;;;18.42;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:18:58;45.58;;;20.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:21:25;29.25;;;16.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:23:53;40.12;;;19.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:26:21;28.42;;;14.05;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:28:48;39.05;;;20.55;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:31:16;27.70;;;16.62;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:33:42;42.67;;;18.15;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:36:10;37.78;;;18.08;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:38:40;35.45;;;18.10;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:41:07;35.75;;;18.90;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:43:34;36.15;;;17.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:46:02;31.55;;;18.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:48:34;35.53;;;16.62;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:51:06;37.78;;;18.27;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:53:41;38.95;;;17.90;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:56:08;31.02;;;17.17;;
5561;SDS011;2804;50.846;4.357;2018-02-06T05:58:37;40.63;;;18.52;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:01:06;36.22;;;19.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:03:33;43.53;;;18.05;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:06:03;56.37;;;21.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:08:32;41.03;;;18.50;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:10:59;41.00;;;20.60;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:13:29;34.65;;;18.17;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:15:56;37.75;;;20.83;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:18:23;45.45;;;19.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:20:50;31.62;;;17.92;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:23:17;37.72;;;18.70;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:25:45;29.35;;;18.33;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:28:12;31.85;;;18.12;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:30:40;31.70;;;17.83;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:33:07;32.13;;;18.98;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:35:35;49.92;;;25.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:38:04;48.87;;;23.90;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:40:32;34.22;;;18.20;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:43:01;43.28;;;17.52;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:45:28;30.52;;;16.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:48:02;42.90;;;18.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:50:40;35.03;;;18.67;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:53:16;29.73;;;17.92;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:55:44;44.17;;;19.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T06:58:12;43.30;;;20.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:00:41;36.47;;;17.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:03:10;68.07;;;29.90;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:05:38;40.40;;;20.42;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:08:06;40.50;;;17.92;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:10:34;41.75;;;20.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:13:02;35.45;;;18.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:15:29;34.60;;;18.20;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:17:57;39.63;;;18.77;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:20:24;36.70;;;19.55;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:22:52;57.90;;;24.15;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:25:20;46.55;;;22.30;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:27:49;37.50;;;20.75;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:30:17;38.05;;;19.02;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:32:44;49.83;;;19.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:35:12;36.63;;;18.23;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:37:40;27.98;;;16.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:40:07;41.10;;;18.80;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:42:35;32.13;;;18.23;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:45:03;31.23;;;19.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:47:30;40.60;;;19.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:49:57;39.10;;;20.08;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:52:26;47.20;;;20.60;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:54:54;35.33;;;18.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:57:22;41.37;;;19.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T07:59:49;38.58;;;18.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:02:16;36.92;;;20.02;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:04:43;35.47;;;19.35;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:07:10;38.63;;;20.55;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:09:37;34.13;;;17.85;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:12:05;43.38;;;19.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:14:33;37.33;;;19.45;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:17:00;42.95;;;20.25;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:19:28;40.15;;;20.48;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:21:55;41.00;;;19.45;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:24:23;31.80;;;16.62;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:26:50;31.58;;;17.00;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:29:17;46.35;;;20.20;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:31:44;34.08;;;18.42;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:34:14;36.92;;;19.40;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:36:41;51.28;;;18.08;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:39:16;41.60;;;19.87;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:41:57;38.53;;;22.65;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:44:27;42.62;;;20.08;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:46:56;41.55;;;19.45;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:49:28;38.33;;;19.95;;
5561;SDS011;2804;50.846;4.357;2018-02-06T08:51:59;34.83;;;17.90;;
